,Method,Featureamount,Best parameters,Re-Scaled,Accuracy,Precision 0,Precision 1,Recall 0,Recall 1,f1 score 0,f1 score 1,support 0,support 1,TNR,FPR,FNR,TPR,WSVC
37,Deep Autoencoder,2,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
38,Deep Autoencoder,2,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
39,Deep Autoencoder,2,1,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
40,Deep Autoencoder,2,1,1,0.4894566098945661,0.8358333333333333,0.16113744075829384,0.4857142857142857,0.5087281795511222,0.614395099540582,0.24475104979004197,2065,401,1003,1062,197,204,1.0
41,Deep Autoencoder,3,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
42,Deep Autoencoder,3,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
43,Deep Autoencoder,3,1,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
44,Deep Autoencoder,3,1,1,0.5555555555555556,0.9194805194805195,0.2349351639969489,0.5142857142857142,0.7680798004987531,0.6596273291925465,0.3598130841121495,2065,401,1062,1003,93,308,1.0
45,Deep Autoencoder,4,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
46,Deep Autoencoder,4,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
47,Deep Autoencoder,4,1,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
48,Deep Autoencoder,4,1,1,0.6001622060016221,0.9271575613618369,0.256857855361596,0.5670702179176755,0.770573566084788,0.7037259615384616,0.385286783042394,2065,401,1171,894,92,309,1.0
49,Deep Autoencoder,5,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
50,Deep Autoencoder,5,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
51,Deep Autoencoder,5,1,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
52,Deep Autoencoder,5,1,1,0.5442011354420113,0.9045571797076526,0.22256331542594013,0.5094430992736078,0.7231920199501247,0.6517967781908302,0.3403755868544601,2065,401,1052,1013,111,290,1.0
53,Deep Autoencoder,6,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
54,Deep Autoencoder,6,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
55,Deep Autoencoder,6,1,1,0.8398215733982157,0.8402607986960066,0.75,0.998547215496368,0.022443890274314215,0.9125912812569152,0.043583535108958835,2065,401,2062,3,392,9,0.0
56,Deep Autoencoder,6,1,1,0.6630170316301703,0.9278779472954231,0.2900390625,0.6479418886198547,0.7406483790523691,0.7630453378956373,0.41684210526315785,2065,401,1338,727,104,297,1.0
57,Deep Autoencoder,7,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
58,Deep Autoencoder,7,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
59,Deep Autoencoder,7,1,1,0.8454987834549879,0.8473597359735974,0.7380952380952381,0.9946731234866828,0.0773067331670823,0.9151258632212075,0.13995485327313772,2065,401,2054,11,370,31,0.0
60,Deep Autoencoder,7,1,1,0.7060016220600163,0.9311454311454311,0.3223684210526316,0.700726392251816,0.7331670822942643,0.7996684166896934,0.44782939832444785,2065,401,1447,618,107,294,1.0
61,Deep Autoencoder,8,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
62,Deep Autoencoder,8,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
63,Deep Autoencoder,8,1,1,0.8394160583941606,0.8396418396418397,0.7777777777777778,0.9990314769975787,0.017456359102244388,0.9124281291463955,0.03414634146341463,2065,401,2063,2,394,7,0.0
64,Deep Autoencoder,8,1,1,0.6354420113544201,0.9158345221112696,0.26597744360902253,0.6217917675544794,0.7057356608478803,0.7406980098067493,0.38634812286689413,2065,401,1284,781,118,283,1.0
65,Deep Autoencoder,9,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
66,Deep Autoencoder,9,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
67,Deep Autoencoder,9,1,1,0.8386050283860503,0.8395112016293279,0.6363636363636364,0.9980629539951574,0.017456359102244388,0.9119469026548672,0.03398058252427184,2065,401,2061,4,394,7,0.0
68,Deep Autoencoder,9,1,1,0.6763990267639902,0.9464411557434813,0.3104106972301815,0.650363196125908,0.8104738154613467,0.7709529276693456,0.44889502762430944,2065,401,1343,722,76,325,1.0
69,Deep Autoencoder,10,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
70,Deep Autoencoder,10,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
71,Deep Autoencoder,10,1,1,0.8402270884022709,0.8411596570028583,0.7058823529411765,0.9975786924939467,0.029925187032418952,0.9127159946832077,0.057416267942583726,2065,401,2060,5,389,12,0.0
72,Deep Autoencoder,10,1,1,0.635036496350365,0.9324424647364514,0.2770330652368186,0.6082324455205811,0.773067331670823,0.7362250879249707,0.4078947368421053,2065,401,1256,809,91,310,1.0
73,Sparse Autoencoder,1,0,0,0.8406326034063261,0.8406682966585167,0.8333333333333334,0.9990314769975787,0.02493765586034913,0.9130338570480194,0.048426150121065374,2065,401,2063,2,391,10,0.0
74,Sparse Autoencoder,1,0,1,0.8406326034063261,0.8406682966585167,0.8333333333333334,0.9990314769975787,0.02493765586034913,0.9130338570480194,0.048426150121065374,2065,401,2063,2,391,10,0.0
75,Sparse Autoencoder,1,1,1,0.8406326034063261,0.8406682966585167,0.8333333333333334,0.9990314769975787,0.02493765586034913,0.9130338570480194,0.048426150121065374,2065,401,2063,2,391,10,0.0
76,Sparse Autoencoder,1,1,1,0.7201946472019465,0.8690284487385936,0.2603648424543947,0.7840193704600484,0.3915211970074813,0.8243380855397148,0.3127490039840637,2065,401,1619,446,244,157,1.0
77,Sparse Autoencoder,2,0,0,0.8369829683698297,0.8373225152129817,0.0,0.9995157384987894,0.0,0.9112582781456954,0.0,2065,401,2064,1,401,0,0.0
78,Sparse Autoencoder,2,0,1,0.8369829683698297,0.8373225152129817,0.0,0.9995157384987894,0.0,0.9112582781456954,0.0,2065,401,2064,1,401,0,0.0
79,Sparse Autoencoder,2,1,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
80,Sparse Autoencoder,2,1,1,0.8361719383617194,0.8371904181892001,0.0,0.998547215496368,0.0,0.9107773851590106,0.0,2065,401,2062,3,401,0,1.0
81,Sparse Autoencoder,3,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
82,Sparse Autoencoder,3,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
